,Name,Country,Lattitude,Longitude,Max Temperature (k),% Humidity,Wind Speed,Cloud Coverage,Time
49,Nikolskoye,RU,59.7,30.79,273.15,96,5.0,75,22:48 04-10-2020
50,Bluff,NZ,-46.6,168.33,294.26,47,4.02,1,22:48 04-10-2020
51,Mar del Plata,AR,-38.0,-57.56,286.15,82,3.1,0,22:43 04-10-2020
52,Lebu,CL,-37.62,-73.65,286.86,86,5.26,70,22:48 04-10-2020
53,Constitución,CL,-35.33,-72.42,285.82,89,3.96,100,22:48 04-10-2020
54,Vangaindrano,MG,-23.35,47.6,294.83,92,1.68,39,22:48 04-10-2020
55,Tuktoyaktuk,CA,69.45,-133.04,261.15,72,2.6,20,22:48 04-10-2020
56,Mahébourg,MU,-20.41,57.7,298.15,83,3.1,40,22:48 04-10-2020
57,Avarua,CK,-21.21,-159.78,302.15,83,4.1,100,22:48 04-10-2020
58,Waharoa,NZ,-37.77,175.77,295.37,66,0.89,0,22:48 04-10-2020
59,Korla,CN,41.76,86.15,289.91,19,2.64,66,22:48 04-10-2020
60,Mtwara,TZ,-10.27,40.18,297.15,94,5.7,40,22:46 04-10-2020
61,Saint Paul Harbor,US,57.79,-152.41,277.15,69,4.1,1,22:48 04-10-2020
62,Troitsko-Pechorsk,RU,62.71,56.2,270.97,94,3.63,97,22:48 04-10-2020
63,Bredasdorp,ZA,-34.53,20.04,290.15,82,3.6,100,22:48 04-10-2020
64,Albany,US,42.6,-73.97,278.15,60,6.2,75,22:48 04-10-2020
65,Kaitangata,NZ,-46.28,169.85,290.49,52,2.39,0,22:48 04-10-2020
66,Arrondissement d'Arcachon,FR,44.59,-1.05,283.15,93,2.1,96,22:48 04-10-2020
67,Pa Daet,TH,19.5,99.99,302.04,61,2.6,15,22:48 04-10-2020
68,Terrace,CA,54.52,-128.6,283.15,25,7.7,20,22:48 04-10-2020
69,Deputatsky,RU,69.3,139.9,267.95,89,10.03,18,22:48 04-10-2020
70,Rikitea,PF,-23.12,-134.97,298.51,74,4.41,14,22:48 04-10-2020
71,Provideniya,RU,64.38,-173.3,263.91,94,6.03,100,22:48 04-10-2020
72,Champerico,GT,14.3,-91.92,301.88,73,4.24,85,22:48 04-10-2020
73,Mariental,NA,-24.63,17.97,294.43,43,3.72,3,22:48 04-10-2020
74,Alexandria,EG,31.22,29.96,288.15,72,4.1,40,22:43 04-10-2020
75,Saskylakh,RU,71.92,114.08,272.44,94,9.23,86,22:48 04-10-2020
76,Gus-Zheleznyy,RU,55.06,41.17,273.17,92,2.04,14,22:48 04-10-2020
77,Los Llanos de Aridane,ES,28.66,-17.92,293.15,82,3.1,40,22:48 04-10-2020
78,Waverly,US,42.74,-84.62,276.48,55,3.6,90,22:48 04-10-2020
79,Cabo San Lucas,MX,22.89,-109.91,294.82,60,4.6,75,22:46 04-10-2020
80,Sawtell,AU,-30.38,153.1,297.59,53,4.1,82,22:48 04-10-2020
81,Vao,NC,-22.67,167.48,296.63,73,4.46,99,22:48 04-10-2020
82,Torbay,CA,47.67,-52.73,277.15,93,3.6,90,22:48 04-10-2020
83,Galveston,US,29.37,-94.97,294.82,60,3.6,1,22:44 04-10-2020
84,Anadyr,RU,64.75,177.48,258.15,77,7.0,32,22:48 04-10-2020
85,Palmer,US,42.16,-72.33,279.15,64,2.6,20,22:48 04-10-2020
86,Shuyskoye,RU,59.37,41.03,270.27,93,1.59,0,22:48 04-10-2020
87,Chokurdakh,RU,70.63,147.92,269.24,96,7.15,39,22:48 04-10-2020
88,Faanui,PF,-16.48,-151.75,301.84,70,2.6,94,22:48 04-10-2020
89,Ixtapa,MX,20.7,-105.2,298.15,78,2.1,40,22:48 04-10-2020
90,Hasaki,JP,35.73,140.83,290.37,37,3.1,20,22:48 04-10-2020
91,Diamantina,BR,-18.25,-43.6,289.52,74,1.83,67,22:48 04-10-2020
92,Puerto Peñasco,MX,31.32,-113.53,292.04,56,3.58,15,22:48 04-10-2020
93,Atuona,PF,-9.8,-139.03,301.18,75,5.07,84,22:48 04-10-2020
94,Sijunjung,ID,-0.69,100.95,301.29,68,1.0,76,22:48 04-10-2020
95,Talnakh,RU,69.49,88.4,265.15,78,8.0,20,22:48 04-10-2020
96,Puerto El Triunfo,SV,13.28,-88.55,302.15,79,1.5,0,22:48 04-10-2020
97,Nueve de Julio,AR,-35.44,-60.88,287.04,78,1.34,0,22:48 04-10-2020
98,Hilo,US,19.73,-155.09,297.15,88,2.1,90,22:48 04-10-2020
99,Dwārka,IN,22.24,68.97,299.21,75,4.27,0,22:48 04-10-2020
100,Tasiilaq,GL,65.61,-37.64,269.15,53,1.0,99,22:48 04-10-2020
101,Hay River,CA,60.82,-115.8,268.15,67,5.7,75,22:48 04-10-2020
102,Olinda,BR,-8.01,-34.86,302.15,79,2.1,40,22:45 04-10-2020
103,Aklavik,CA,68.22,-135.01,267.15,53,3.6,75,22:48 04-10-2020
104,Vanimo,PG,-2.67,141.3,302.93,68,3.02,100,22:48 04-10-2020
105,Pangnirtung,CA,66.15,-65.71,263.0,79,2.04,96,22:48 04-10-2020
106,Shelburne,CA,44.08,-80.2,274.26,87,1.5,1,22:48 04-10-2020
107,Petra,JO,30.32,35.48,280.23,64,2.89,41,22:48 04-10-2020
108,Cape Town,ZA,-33.93,18.42,290.15,93,4.6,40,22:39 04-10-2020
109,Valdivia,CL,-39.81,-73.25,284.15,100,1.0,40,22:48 04-10-2020
110,Porto Nacional,BR,-10.71,-48.42,298.15,94,2.1,75,22:48 04-10-2020
111,Takāb,IR,36.4,47.11,277.28,42,2.16,62,22:48 04-10-2020
112,Barrow,US,71.29,-156.79,255.15,70,5.1,90,22:48 04-10-2020
113,São Gonçalo do Amarante,BR,-3.61,-38.97,301.15,83,2.1,75,22:46 04-10-2020
114,Carnarvon,AU,-24.87,113.63,301.15,69,3.6,32,22:48 04-10-2020
115,Hobyo,SO,5.35,48.53,301.17,66,3.48,51,22:48 04-10-2020
116,Khatanga,RU,71.97,102.5,270.01,95,11.9,96,22:48 04-10-2020
117,Buraidah,SA,26.33,43.98,291.15,42,4.1,24,22:48 04-10-2020
118,Zlobin,HR,45.29,14.65,285.37,47,0.89,0,22:48 04-10-2020
119,Kulhudhuffushi,MV,6.62,73.07,302.42,66,2.65,25,22:48 04-10-2020
120,Husavik,IS,66.04,-17.34,271.15,92,4.1,40,22:48 04-10-2020
121,Lüderitz,NA,-26.65,15.16,286.15,82,1.0,0,22:48 04-10-2020
122,Emba,KZ,48.83,58.14,279.99,62,5.36,99,22:48 04-10-2020
123,Sitka,US,57.05,-135.33,281.15,36,2.1,1,22:48 04-10-2020
124,Melito di Porto Salvo,IT,37.92,15.77,287.59,82,1.5,5,22:48 04-10-2020
125,Plettenberg Bay,ZA,-34.05,23.37,290.61,48,1.64,39,22:48 04-10-2020
126,Tuatapere,NZ,-46.13,167.68,294.26,47,4.02,2,22:48 04-10-2020
127,Léo,BF,11.1,-2.1,299.64,50,2.24,16,22:48 04-10-2020
128,Qaanaaq,GL,77.48,-69.36,257.73,74,3.44,43,22:48 04-10-2020
129,Castro,BR,-24.79,-50.01,286.22,72,2.4,42,22:48 04-10-2020
130,Guerrero Negro,MX,27.98,-114.06,288.95,64,7.09,1,22:48 04-10-2020
131,Lixouri,GR,38.2,20.43,282.04,52,3.35,0,22:48 04-10-2020
132,Ahipara,NZ,-35.17,173.17,291.67,66,3.08,36,22:48 04-10-2020
133,Fairbanks,US,64.84,-147.72,277.15,80,6.2,90,22:48 04-10-2020
134,Tessalit,ML,20.2,1.01,299.24,14,3.4,40,22:48 04-10-2020
135,Marfino,RU,55.7,37.38,273.15,80,2.0,67,22:48 04-10-2020
136,Thompson,CA,55.74,-97.86,272.15,58,1.0,90,22:48 04-10-2020
137,Minbu,MM,20.18,94.88,307.13,30,1.13,68,22:48 04-10-2020
138,Chui,UY,-33.7,-53.46,289.42,83,1.89,0,22:48 04-10-2020
139,Henties Bay,NA,-22.12,14.28,296.66,50,2.18,28,22:48 04-10-2020
140,Cherskiy,RU,68.75,161.3,264.21,95,8.25,100,22:48 04-10-2020
141,San Patricio,MX,19.22,-104.7,298.6,60,5.74,0,22:48 04-10-2020
142,Esperance,AU,-33.87,121.9,295.15,60,4.1,27,22:48 04-10-2020
143,George Town,MY,5.41,100.34,304.15,74,3.1,20,22:48 04-10-2020
144,Hithadhoo,MV,-0.6,73.08,302.42,63,3.89,16,22:48 04-10-2020
145,Birobidzhan,RU,48.8,132.95,283.29,41,2.27,11,22:48 04-10-2020
146,Polūr,IN,12.5,79.13,301.62,61,2.1,15,22:48 04-10-2020
147,Mossamedes,AO,-15.2,12.15,297.15,62,3.41,77,22:48 04-10-2020
148,Port Elizabeth,ZA,-33.92,25.57,286.15,100,1.0,7,22:48 04-10-2020
149,Sorgun,TR,39.81,35.19,273.59,55,1.13,0,22:48 04-10-2020
150,Port Blair,IN,11.67,92.75,301.7,66,3.51,29,22:48 04-10-2020
151,Cidreira,BR,-30.18,-50.21,290.22,82,1.95,7,22:48 04-10-2020
152,Vardø,NO,70.37,31.11,271.5,90,9.36,100,22:48 04-10-2020
153,Jardim do Seridó,BR,-6.58,-36.77,297.6,74,4.53,63,22:48 04-10-2020
154,Lakewood,US,39.7,-105.08,289.82,22,3.1,1,22:45 04-10-2020
155,Yerofey Pavlovich,RU,53.97,121.97,284.74,40,1.09,0,22:48 04-10-2020
156,Bethel,US,41.37,-73.41,280.37,48,5.1,90,22:43 04-10-2020
157,Sørland,NO,67.67,12.69,274.2,82,5.73,100,22:48 04-10-2020
158,Chiplūn,IN,17.53,73.52,305.85,37,0.3,26,22:48 04-10-2020
159,Quime,BO,-16.98,-67.22,282.4,33,0.12,14,22:48 04-10-2020
160,Yulara,AU,-25.24,130.99,301.15,18,2.1,9,22:48 04-10-2020
161,Amapá,BR,1.0,-52.0,295.59,90,0.29,100,22:48 04-10-2020
162,Laje,BR,-10.18,-40.97,294.93,71,0.8,99,22:48 04-10-2020
163,Karatau,KZ,43.17,70.47,282.68,47,3.19,90,22:48 04-10-2020
164,Tual,ID,-5.67,132.75,301.9,72,3.27,7,22:48 04-10-2020
165,Tromsø,NO,69.65,18.96,270.15,92,10.3,90,22:46 04-10-2020
166,Baykit,RU,61.67,96.37,274.27,84,2.74,92,22:48 04-10-2020
167,Great Falls,US,47.5,-111.3,282.15,49,3.1,90,22:48 04-10-2020
168,Kapaa,US,22.08,-159.32,299.15,65,3.1,75,22:48 04-10-2020
169,Poso,ID,-1.4,120.75,303.45,61,1.79,28,22:48 04-10-2020
170,Parbhani,IN,19.27,76.78,306.67,18,2.78,26,22:48 04-10-2020
171,Misratah,LY,32.38,15.09,288.77,59,2.64,67,22:48 04-10-2020
172,Cape Canaveral,US,28.41,-80.6,294.82,60,3.6,1,22:45 04-10-2020
173,Kenai,US,60.55,-151.26,278.15,40,3.6,1,22:46 04-10-2020
174,Agara,GE,42.04,43.82,278.86,66,2.88,100,22:48 04-10-2020
175,Katsuura,JP,35.13,140.3,288.71,44,4.1,20,22:48 04-10-2020
176,Pirapora,BR,-17.34,-44.94,293.9,80,1.0,5,22:48 04-10-2020
177,East London,ZA,-33.02,27.91,292.83,81,3.25,1,22:48 04-10-2020
178,Canutama,BR,-6.53,-64.38,296.81,85,0.45,85,22:48 04-10-2020
179,Kashgar,CN,39.45,75.98,288.15,16,3.0,20,22:48 04-10-2020
180,Licheng,CN,23.3,113.83,297.59,73,1.0,90,22:48 04-10-2020
181,Udachny,RU,66.42,112.4,272.15,54,5.0,93,22:48 04-10-2020
182,Elbistan,TR,38.21,37.2,276.77,45,2.69,10,22:48 04-10-2020
183,Lata,PT,40.16,-8.33,287.15,87,1.5,75,22:48 04-10-2020
184,Strängnäs,SE,59.38,17.03,273.15,73,0.5,0,22:48 04-10-2020
185,Teya,RU,60.38,92.63,274.25,84,2.73,100,22:48 04-10-2020
186,Alta Floresta,BR,-9.88,-56.09,295.59,86,0.68,95,22:44 04-10-2020
187,Soyo,AO,-6.13,12.37,298.9,88,2.82,89,22:48 04-10-2020
188,Meïganga,CM,6.52,14.3,292.79,69,2.5,100,22:48 04-10-2020
189,Hualmay,PE,-11.1,-77.61,295.55,79,3.43,3,22:48 04-10-2020
190,Paredon,MX,16.03,-93.87,302.08,63,1.05,19,22:48 04-10-2020
191,Mareeba,AU,-17.0,145.43,304.26,62,3.1,90,22:48 04-10-2020
192,Traiguén,CL,-38.25,-72.68,285.95,85,1.63,96,22:48 04-10-2020
193,Anamur,TR,36.08,32.84,288.61,52,2.72,0,22:48 04-10-2020
194,Azovo,RU,54.7,73.02,276.15,86,2.0,0,22:48 04-10-2020
195,Sibu,MY,2.3,111.82,300.15,88,1.0,75,22:48 04-10-2020
196,Bubaque,GW,11.28,-15.83,298.65,80,4.63,10,22:48 04-10-2020
197,Qaqortoq,GL,60.72,-46.03,281.15,22,11.8,100,22:48 04-10-2020
198,Teberda,RU,43.45,41.74,273.99,49,2.45,32,22:48 04-10-2020
199,Airai,TL,-8.93,125.41,293.08,65,0.5,58,22:48 04-10-2020
200,Naze,JP,28.37,129.48,295.15,53,3.1,75,22:48 04-10-2020
201,Goderich,CA,43.75,-81.72,276.48,75,4.73,68,22:48 04-10-2020
202,Fortuna,US,40.6,-124.16,287.04,93,4.6,90,22:48 04-10-2020
203,Shache,CN,38.42,77.24,290.67,15,3.77,100,22:48 04-10-2020
204,Gravdal,NO,68.12,13.5,274.36,83,6.91,100,22:48 04-10-2020
205,Awjilah,LY,29.11,21.29,285.48,69,3.9,0,22:48 04-10-2020
206,Entebbe,UG,0.06,32.45,297.15,83,7.7,75,22:48 04-10-2020
207,Beāwar,IN,26.1,74.32,303.18,17,2.32,26,22:48 04-10-2020
208,Panabá,MX,21.28,-88.27,298.62,65,3.25,5,22:48 04-10-2020
209,Chul'man,RU,56.85,124.91,275.8,66,2.44,95,22:48 04-10-2020
210,Gdov,RU,58.74,27.81,272.78,94,4.86,37,22:43 04-10-2020
211,Guadalupe Victoria,MX,32.29,-115.11,290.15,82,5.7,90,22:48 04-10-2020
212,Mount Gambier,AU,-37.83,140.77,286.15,58,11.8,90,22:48 04-10-2020
213,Pueblo Nuevo,MX,17.1,-92.88,305.15,40,6.2,90,22:48 04-10-2020
214,Kavaratti,IN,10.57,72.64,302.45,70,3.3,38,22:48 04-10-2020
215,Portland,US,45.52,-122.68,292.15,52,5.7,20,22:48 04-10-2020
216,Río Gallegos,AR,-51.62,-69.22,280.15,70,3.1,91,22:48 04-10-2020
217,Narsaq,GL,60.92,-46.05,281.15,22,11.8,100,22:48 04-10-2020
218,Price,US,39.6,-110.81,285.15,20,2.6,1,22:48 04-10-2020
219,Geraldton,AU,-28.77,114.6,307.59,18,4.6,97,22:48 04-10-2020
220,Sterling,US,39.01,-77.43,280.37,38,4.6,20,22:48 04-10-2020
221,Tucuruí,BR,-3.77,-49.67,297.09,93,1.96,100,22:48 04-10-2020
222,Ponta do Sol,PT,32.67,-17.1,292.15,68,5.1,20,22:45 04-10-2020
223,Nome,US,64.5,-165.41,273.15,97,5.1,90,22:45 04-10-2020
224,Sorong,ID,-0.88,131.25,304.3,61,1.35,32,22:43 04-10-2020
225,Bambous Virieux,MU,-20.34,57.76,298.15,83,3.1,40,22:48 04-10-2020
226,Morondava,MG,-20.28,44.28,297.95,76,1.97,0,22:48 04-10-2020
227,Port Keats,AU,-14.25,129.55,301.81,68,5.16,81,22:48 04-10-2020
228,Mackay,AU,-21.15,149.2,303.15,65,4.6,73,22:48 04-10-2020
229,Port Antonio,JM,18.18,-76.46,301.15,78,2.6,20,22:48 04-10-2020
230,Bac Lieu,VN,9.29,105.72,303.86,59,5.73,80,22:48 04-10-2020
231,Kyshtovka,RU,56.55,76.63,275.81,94,3.31,96,22:48 04-10-2020
232,Sioux Lookout,CA,50.1,-91.92,277.15,64,1.0,90,22:48 04-10-2020
233,Lavrentiya,RU,65.58,-171.0,264.18,95,3.91,98,22:48 04-10-2020
234,Cavalcante,BR,-13.8,-47.46,294.69,64,0.89,98,22:44 04-10-2020
235,Mitú,CO,1.2,-70.17,294.84,93,0.55,100,22:48 04-10-2020
236,Peleduy,RU,59.63,112.74,280.44,69,0.52,99,22:48 04-10-2020
237,Pisco,PE,-13.7,-76.22,295.37,83,3.6,0,22:48 04-10-2020
238,Westport,US,41.14,-73.36,280.93,48,5.1,90,22:46 04-10-2020
239,Lloydminster,CA,53.28,-110.0,272.15,54,6.2,20,22:45 04-10-2020
240,Cockburn Town,TC,21.46,-71.14,299.12,74,1.82,68,22:44 04-10-2020
241,Hanzhong,CN,33.07,107.03,290.24,36,3.04,97,22:48 04-10-2020
242,Caravelas,BR,-17.71,-39.25,298.13,87,4.91,40,22:48 04-10-2020
243,Kahului,US,20.89,-156.47,300.15,51,7.2,40,22:48 04-10-2020
244,Half Moon Bay,US,37.46,-122.43,289.26,87,4.6,75,22:48 04-10-2020
245,Sinnamary,GF,5.38,-52.95,299.46,82,5.25,95,22:48 04-10-2020
246,Natal,BR,-5.79,-35.21,301.15,83,1.5,40,22:48 04-10-2020
247,Gushikawa,JP,26.35,127.87,296.15,60,7.2,40,22:48 04-10-2020
248,Dawlatabad,AF,36.41,64.91,290.37,50,1.18,100,22:48 04-10-2020
249,Feira Nova,BR,-7.95,-35.39,302.15,79,2.1,40,22:48 04-10-2020
250,Raahe,FI,64.68,24.48,270.15,79,3.1,20,22:48 04-10-2020
251,De-Kastri,RU,51.47,140.78,273.88,85,1.01,0,22:48 04-10-2020
252,Talaya,RU,61.38,152.75,269.43,84,3.62,14,22:48 04-10-2020
253,Sambava,MG,-14.27,50.17,296.93,86,4.05,27,22:48 04-10-2020
254,Skjervøy,NO,70.03,20.97,272.36,96,10.17,100,22:48 04-10-2020
255,Tura,IN,25.52,90.22,303.93,24,2.68,0,22:48 04-10-2020
256,Heishan,CN,41.69,122.11,290.62,23,3.77,0,22:48 04-10-2020
257,Arrondissement de Morlaix,FR,48.58,-4.0,285.15,76,1.34,0,22:48 04-10-2020
258,Byron Bay,AU,-28.65,153.62,301.15,48,6.2,40,22:46 04-10-2020
259,Ouésso,CG,1.61,16.05,295.98,85,1.45,99,22:48 04-10-2020
260,Lagoa,PT,39.05,-27.98,289.33,72,2.95,93,22:48 04-10-2020
261,Zholymbet,KZ,51.74,71.71,278.3,64,2.71,0,22:48 04-10-2020
262,Sabang,ID,5.89,95.32,302.43,74,5.64,37,22:48 04-10-2020
263,Salinópolis,BR,-0.61,-47.36,300.28,83,4.08,99,22:48 04-10-2020
264,Mildura,AU,-34.2,142.15,292.15,48,7.7,75,22:48 04-10-2020
265,Mananjary,MG,-21.22,48.33,295.97,87,2.71,22,22:48 04-10-2020
266,Tautira,PF,-17.73,-149.15,303.15,66,2.1,100,22:48 04-10-2020
267,Luwingu,ZM,-10.26,29.93,287.85,66,2.77,59,22:48 04-10-2020
268,Coyhaique,CL,-45.58,-72.07,280.15,87,2.6,90,22:48 04-10-2020
269,Shirwal,IN,18.13,73.98,303.81,22,1.4,26,22:48 04-10-2020
270,León,MX,21.12,-101.67,299.15,15,4.1,75,22:48 04-10-2020
271,Kalmunai,LK,7.42,81.82,302.75,63,3.44,13,22:48 04-10-2020
272,Havelock,US,34.88,-76.9,284.15,52,2.1,1,22:48 04-10-2020
273,Atambua,ID,-9.11,124.89,300.49,64,1.0,22,22:48 04-10-2020
274,Rawson,AR,-43.3,-65.1,294.05,44,7.15,60,22:48 04-10-2020
275,Shingū,JP,33.73,135.98,286.15,47,4.6,75,22:48 04-10-2020
276,Rio Grande,BR,-32.03,-52.1,290.78,80,3.27,0,22:47 04-10-2020
277,Kavieng,PG,-2.57,150.8,302.28,73,3.33,86,22:48 04-10-2020
278,Beringovskiy,RU,63.05,179.32,261.79,94,7.4,100,22:48 04-10-2020
279,Cabedelo,BR,-6.98,-34.83,299.15,94,1.5,20,22:48 04-10-2020
280,Lamu,KE,-2.27,40.9,300.33,83,5.29,80,22:48 04-10-2020
281,Nueva Armenia,HN,15.8,-86.5,299.99,76,4.36,0,22:48 04-10-2020
282,Nanortalik,GL,60.14,-45.24,273.3,90,2.02,100,22:48 04-10-2020
283,Rio Claro,BR,-22.41,-47.56,288.15,82,1.0,19,22:48 04-10-2020
284,Lodja,CD,-3.48,23.43,294.08,85,0.86,90,22:48 04-10-2020
285,Touros,BR,-5.2,-35.46,299.15,88,1.5,40,22:48 04-10-2020
286,Sola,VU,-13.88,167.55,300.18,73,5.49,64,22:48 04-10-2020
287,San Fernando,PH,15.03,120.69,305.15,59,1.0,75,22:48 04-10-2020
288,Along,IN,28.17,94.77,300.56,29,0.46,0,22:48 04-10-2020
289,Touba,CI,8.28,-7.68,296.86,70,1.53,87,22:48 04-10-2020
290,Córdoba,AR,-31.41,-64.18,289.82,87,3.1,0,22:44 04-10-2020
291,Kiryat Gat,IL,31.61,34.76,287.15,87,3.6,75,22:48 04-10-2020
292,Muravlenko,RU,63.79,74.52,274.89,96,8.71,100,22:48 04-10-2020
293,Safi,MA,32.3,-9.24,289.52,83,5.9,84,22:48 04-10-2020
294,Omsukchan,RU,62.53,155.8,264.4,87,4.0,90,22:48 04-10-2020
295,Saint-Paul,RE,-21.01,55.27,298.15,78,5.1,40,22:48 04-10-2020
296,Nador,MA,35.17,-2.93,287.15,87,1.0,19,22:41 04-10-2020
297,Dicabisagan,PH,17.08,122.42,300.41,70,1.39,84,22:48 04-10-2020
298,Itarema,BR,-2.92,-39.92,298.72,86,1.64,100,22:48 04-10-2020
299,Port Lincoln,AU,-34.73,135.87,290.02,63,7.11,70,22:47 04-10-2020
300,Pālang,BD,23.22,90.35,302.15,66,2.6,20,22:48 04-10-2020
301,Mongo,TD,12.18,18.69,303.0,12,4.38,98,22:48 04-10-2020
302,‘Āhuimanu,US,21.44,-157.84,301.15,51,4.1,75,22:48 04-10-2020
303,Tiksi,RU,71.69,128.87,269.57,93,14.87,89,22:48 04-10-2020
304,Lompoc,US,34.64,-120.46,288.15,82,5.1,1,22:48 04-10-2020
305,Cayenne,GF,4.93,-52.33,300.15,88,1.0,95,22:48 04-10-2020
306,Loksa,EE,59.58,25.72,274.26,74,3.6,0,22:48 04-10-2020
307,Kysyl-Syr,RU,63.9,122.76,273.99,88,4.27,38,22:48 04-10-2020
308,Ampanihy,MG,-24.7,44.75,293.61,83,4.33,1,22:48 04-10-2020
309,Camaná,PE,-16.62,-72.71,295.42,78,2.78,91,22:48 04-10-2020
310,Clarence Town,AU,-32.58,151.78,298.71,38,10.8,4,22:48 04-10-2020
311,Yangi Marg`ilon,UZ,40.43,71.72,284.15,50,1.42,100,22:48 04-10-2020
312,San Cristobal,VE,7.77,-72.22,293.71,62,0.93,69,22:48 04-10-2020
313,Severo-Kuril'sk,RU,50.68,156.12,272.92,94,2.21,52,22:48 04-10-2020
314,Kargasok,RU,59.06,80.86,273.73,92,3.67,3,22:48 04-10-2020
315,Dalbandin,PK,28.89,64.41,298.46,23,2.98,100,22:44 04-10-2020
316,Yakeshi,CN,49.28,120.73,285.97,26,4.06,0,22:48 04-10-2020
317,Hastings,GB,50.86,0.57,287.04,93,4.1,29,22:48 04-10-2020
318,Gogrial,SS,8.53,28.1,300.55,58,1.6,80,22:48 04-10-2020
319,Calabar,NG,4.95,8.32,298.92,87,0.73,100,22:48 04-10-2020
320,Hong Kong,HK,22.29,114.16,298.15,83,2.1,40,22:47 04-10-2020
